attraction_factor,dim,dissipation_factor,distr_file_path,eff_spr_coef,init_random_shift,interaction_radius,mass,mean_sq_acc,number_of_particles,particle_mass,poisson_y,poisson_z,pos[0],pos[1],pos[2],pull_dist,read_distr,repulsion_factor,required_msa,required_msa_for_relaxation,required_step_for_pull,side[0],side[1],side[2],spring_length_for_relaxation,spring_length_limit,time_interval,time_stamp,young,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,169053,97336,1e-05,0.89919,0.895557,0,0,0,0.01,1,0.01,200000,330000,100,1,1,1,2,1.5,0.000178885,20240703111235,1.33915,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,168547,97336,1e-05,0.867703,0.86306,0,0,0,0.01,1,0.0162378,200000,330000,100,1,1,1,2,1.5,0.000178885,20240703111400,1.33424,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,168069,97336,1e-05,0.828349,0.822735,0,0,0,0.01,1,0.0263665,200000,330000,100,1,1,1,2,1.5,0.000178885,20240703111526,1.32877,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,167834,97336,1e-05,0.781047,0.774437,0,0,0,0.01,1,0.0428133,200000,330000,100,1,1,1,2,1.5,0.000178885,20240703111651,1.32332,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,168222,97336,1e-05,0.725427,0.717822,0,0,0,0.01,1,0.0695193,200000,330000,100,1,1,1,2,1.5,0.000178885,20240703111816,1.31898,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,169887,97336,1e-05,0.660474,0.651936,0,0,0,0.01,1,0.112884,200000,330000,100,1,1,1,2,1.5,0.000178885,20240703111940,1.31783,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,173768,97336,1e-05,0.584988,0.575758,0,0,0,0.01,1,0.183298,200000,330000,100,1,1,1,2,1.5,0.000178885,20240703112106,1.32306,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,180867,97336,1e-05,0.498488,0.488743,0,0,0,0.01,1,0.297635,200000,330000,100,1,1,1,2,1.5,0.000178885,20240703112231,1.33818,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,191236,97336,1e-05,0.403644,0.393786,0,0,0,0.01,1,0.483293,200000,330000,100,1,1,1,2,1.5,0.000178885,20240703112359,1.36285,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,178188,97336,1e-05,0.31937,0.307083,0,0,0,0.01,1,0.78476,200000,330000,100,1,1,1,2,1.5,0.000178885,20240703112608,1.36387,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1.27428,1,0.0215443,1,185319,97336,1e-05,0.226721,0.217339,0,0,0,0.01,1,1.27428,200000,330000,100,1,1,1,2,1.5,0.000158469,20240703112901,1.39491,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,2.06914,1,0.0215443,1,195294,97336,1e-05,0.154126,0.147906,0,0,0,0.01,1,2.06914,200000,330000,100,1,1,1,2,1.5,0.00012436,20240703113319,1.42116,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,3.35982,1,0.0215443,1,199865,97336,1e-05,0.101455,0.0977343,0,0,0,0.01,1,3.35982,200000,330000,100,1,1,1,2,1.5,9.75927e-05,20240703114024,1.43897,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,3.35982,1,0.0215443,1,1.25358e+06,97336,1e-05,0.0746695,0.0727506,0,0,0,0.01,1,3.35982,2.25768e+06,330000,100,1,1,1,2,1.5,9.75926e-05,20240703133514,2.40664,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,5.4556,1,0.0215443,1,2.15405e+06,97336,1e-05,0.0456591,0.0439019,0,0,0,0.01,1,5.4556,5.95271e+06,330000,100,1,1,1,2,1.5,7.65868e-05,20240703133558,3.14266,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,8.85867,1,0.0215443,1,3.6411e+06,97336,1e-05,0.0272851,0.0256634,0,0,0,0.01,1,8.85867,1.56952e+07,330000,100,1,1,1,2,1.5,6.01022e-05,20240703133640,4.09768,
1,3,1e+06,../input/distr/3d/n_1e5_spr_len_2.000000.csv,14.3845,1,0.0215443,1,5.92252e+06,97336,1e-05,0.0158003,0.014397,0,0,0,0.01,1,14.3845,4.13828e+07,330000,100,1,1,1,2,1.5,4.71658e-05,20240703133723,5.25103,


1,3,0,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,139687,97336,1e-05,0.83351,0.821685,0,0,0,0.01,1,0.0695193,150000,330000,100,1,1,1,2,1.5,0.000178885,20240703145011,1.21523,
1,3,0,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,143021,97336,1e-05,0.743038,0.729453,0,0,0,0.01,1,0.116861,150000,330000,100,1,1,1,2,1.5,0.000178885,20240703145220,1.22659,
1,3,0,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,149111,97336,1e-05,0.637354,0.622563,0,0,0,0.01,1,0.196441,150000,330000,100,1,1,1,2,1.5,0.000178885,20240703145430,1.2496,
1,3,0,../input/distr/3d/n_1e5_spr_len_2.000000.csv,1,1,0.0215443,1,149675,97336,1e-05,0.535854,0.516356,0,0,0,0.01,1,0.330215,150000,330000,100,1,1,1,2,1.5,0.000178885,20240703145722,1.26537,


1,3,0.001,../../res/distr/3d/n_1e4/box/rand.csv,1,1,1,700265,9261,0.247434,0.247554,1e-05,0.5,1,1,0,464.159,10000,2,10000,100,6.32456e-05,20240711114705,0.848713,
1,3,0.001,../../res/distr/3d/n_1e4/box/rand.csv,1,1,1,3.68333e+06,9261,0.246471,0.246199,1e-05,1,1,1,0,464.159,10000,2,10000,100,6.32456e-05,20240711213755,0.974928,
1,3,0.001,../../res/distr/3d/n_1e4/box/rand.csv,1,1,1,3.68333e+06,9261,0.246471,0.246199,1e-05,1,1,1,0,464.159,10000,2,10000,100,6.32456e-05,20240711214555,0.974928,
1,3,0.001,../../res/distr/3d/n_1e4/box/rand.csv,1,1,1,3.68333e+06,9261,0.246471,0.246199,1e-05,1,1,1,0,464.159,10000,2,10000,100,6.32456e-05,20240711214928,0.974928,
1,3,0.001,../../res/distr/3d/n_1e5/box/0.csv,1,1,1,2.67769e+07,97336,0.254573,0.255248,1e-05,1,1,1,0,464.159,20000,2,20000,200,6.32456e-05,20240712123441,0.240735,
